"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" acq_opt_time model_fit_time cum_iteration_time
1 632711528.695873 632711528.695873 632710907.585873 632710907.585873 None None None
2 844187929.8295873 632711528.695873 844187308.7195873 632710907.585873 None None None
3 193540631.92791635 193540631.92791635 193540010.81791633 193540010.81791633 None None None
4 104487198.2325401 104487198.2325401 104486577.1225401 104486577.1225401 None None None
5 72442830.84473936 72442830.84473936 72442209.73473936 72442209.73473936 None None None
6 346725127.57925063 72442830.84473936 346724506.4692506 72442209.73473936 None None None
7 110471534.33457892 72442830.84473936 110470913.22457892 72442209.73473936 None None None
8 1464759199.5175424 72442830.84473936 1464758578.4075425 72442209.73473936 None None None
9 1921111608.808112 72442830.84473936 1921110987.698112 72442209.73473936 None None None
10 220622994.9434541 72442830.84473936 220622373.83345407 72442209.73473936 None None None
