"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" acq_opt_time model_fit_time cum_iteration_time
1 326055049.4157973 326055049.4157973 326055344.5957973 326055344.5957973 None None None
2 765934064.8029678 326055049.4157973 765934359.9829677 326055344.5957973 None None None
3 1724920660.442594 326055049.4157973 1724920955.622594 326055344.5957973 None None None
4 113740491.55165544 113740491.55165544 113740786.73165545 113740786.73165545 None None None
5 512719940.58899105 113740491.55165544 512720235.76899105 113740786.73165545 None None None
6 2176125599.309552 113740491.55165544 2176125894.489552 113740786.73165545 None None None
7 29136758419.786205 113740491.55165544 29136758714.966206 113740786.73165545 None None None
8 49232860.04427067 49232860.04427067 49233155.22427067 49233155.22427067 None None None
9 901508374.1228851 49232860.04427067 901508669.302885 49233155.22427067 None None None
10 47139215.53309958 47139215.53309958 47139510.71309958 47139510.71309958 None None None
