"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" acq_opt_time model_fit_time cum_iteration_time
1 228.33577559422372 228.33577559422372 622.8157755942237 622.8157755942237 None None None
2 174.13156136963926 174.13156136963926 568.6115613696393 568.6115613696393 None None None
3 205.64827863462722 174.13156136963926 600.1282786346272 568.6115613696393 None None None
4 236.03649826437368 174.13156136963926 630.5164982643737 568.6115613696393 None None None
5 119.26276807203999 119.26276807203999 513.74276807204 513.74276807204 None None None
6 171.887882976774 119.26276807203999 566.367882976774 513.74276807204 None None None
7 259.965829735929 119.26276807203999 654.445829735929 513.74276807204 None None None
8 174.23745786078825 119.26276807203999 568.7174578607883 513.74276807204 None None None
9 212.8173632704545 119.26276807203999 607.2973632704545 513.74276807204 None None None
10 151.16954128045404 119.26276807203999 545.6495412804541 513.74276807204 None None None
