"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" acq_opt_time model_fit_time cum_iteration_time
1 711.887843483599 711.887843483599 1711.887843483599 1711.887843483599 None None None
2 2640.7765045496185 711.887843483599 3640.7765045496185 1711.887843483599 None None None
3 799.6981541637394 711.887843483599 1799.6981541637394 1711.887843483599 None None None
4 627.630724061411 627.630724061411 1627.630724061411 1627.630724061411 None None None
5 429.8951672278097 429.8951672278097 1429.8951672278097 1429.8951672278097 None None None
6 1735.3870099337346 429.8951672278097 2735.3870099337346 1429.8951672278097 None None None
7 755.4479284419483 429.8951672278097 1755.4479284419483 1429.8951672278097 None None None
8 812.4521095967325 429.8951672278097 1812.4521095967325 1429.8951672278097 None None None
9 588.184157837555 429.8951672278097 1588.184157837555 1429.8951672278097 None None None
10 979.5636591289906 429.8951672278097 1979.5636591289906 1429.8951672278097 None None None
