"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b" acq_opt_time model_fit_time cum_iteration_time
1 1522836.1919150022 1522836.1919150022 1523131.3719150021 1523131.3719150021 None None None
2 52635952.62326882 1522836.1919150022 52636247.80326882 1523131.3719150021 None None None
3 12787423.431132657 1522836.1919150022 12787718.611132657 1523131.3719150021 0.018995899999999732 0.015781264999999767 0
4 12937161.373133726 1522836.1919150022 12937456.553133726 1523131.3719150021 0.01976527600000022 0.027368057999999973 3.067787153
5 9471997.504158743 1522836.1919150022 9472292.684158742 1523131.3719150021 0.02217610900000011 0.0402284199999996 3.115789729
6 14024934.58756048 1522836.1919150022 14025229.76756048 1523131.3719150021 0.02205773099999986 0.03973192999999986 3.179223471
7 9576609.202368177 1522836.1919150022 9576904.382368177 1523131.3719150021 0.024356170000000343 0.04109426699999963 3.241923491
8 15793531.308544097 1522836.1919150022 15793826.488544097 1523131.3719150021 0.02555102499999995 0.041862601000000055 3.308232621
9 18685148.067783196 1522836.1919150022 18685443.247783195 1523131.3719150021 0.020795530000000007 0.04151062700000008 3.376549796
10 17926412.766606055 1522836.1919150022 17926707.946606055 1523131.3719150021 0.024537582999999863 0.04349726799999987 3.439689073
11 7352738.041387439 1522836.1919150022 7353033.2213874385 1523131.3719150021 0.022032283000000152 0.04217597400000006 3.508768348
12 8402608.067828968 1522836.1919150022 8402903.247828968 1523131.3719150021 0.02223009599999992 0.04171443599999991 3.573805645
13 6584046.595270738 1522836.1919150022 6584341.775270738 1523131.3719150021 0.022590502999999984 0.04335497599999982 3.638585469
14 5665721.560703609 1522836.1919150022 5666016.740703609 1523131.3719150021 0.027679427000000256 0.04335719100000013 3.70533779
15 27661665.056324422 1522836.1919150022 27661960.236324422 1523131.3719150021 0.023297231000000362 0.046083231999999974 3.777227989
16 8997210.337988093 1522836.1919150022 8997505.517988093 1523131.3719150021 0.02401206999999994 0.0498861129999999 3.847520864
17 39793194.982008 1522836.1919150022 39793490.162008 1523131.3719150021 0.02449784200000016 0.04762924499999999 3.922542542
18 5238536.1282590255 1522836.1919150022 5238831.308259025 1523131.3719150021 0.03182042800000051 0.0524214409999999 3.995713804
19 129799110.67150058 1522836.1919150022 129799405.85150059 1523131.3719150021 0.02475100000000019 0.047796194000000014 4.080972066
20 56950958.35023066 1522836.1919150022 56951253.530230656 1523131.3719150021 0.024632540999999897 0.048865772000000085 4.154461751
21 203631354.21238607 1522836.1919150022 203631649.39238608 1523131.3719150021 0.024765527999999648 0.04792090900000012 4.229004147
22 4830108.7306746235 1522836.1919150022 4830403.910674623 1523131.3719150021 0.024898644000000303 0.04861347100000035 4.302576296
23 3835465.2769880663 1522836.1919150022 3835760.4569880664 1523131.3719150021 0.02658845399999965 0.04969913299999984 4.376970252
24 10949186.236497156 1522836.1919150022 10949481.416497156 1523131.3719150021 0.026494055999999766 0.05162660999999957 4.454288576
25 13316668.275774706 1522836.1919150022 13316963.455774706 1523131.3719150021 0.026258955000000306 0.05201678300000001 4.533496243
26 3725565.469134838 1522836.1919150022 3725860.649134838 1523131.3719150021 0.025908677000000324 0.05071716600000009 4.612883083
27 6136142.298164878 1522836.1919150022 6136437.478164878 1523131.3719150021 0.027416854000000157 0.051809229000000734 4.69055869
28 14023216.731799219 1522836.1919150022 14023511.911799219 1523131.3719150021 0.028974072999999656 0.05496608500000022 4.770864384
29 22821552.702894725 1522836.1919150022 22821847.882894725 1523131.3719150021 0.027758169000000166 0.05533949500000013 4.855931029
30 54699320.08240909 1522836.1919150022 54699615.26240909 1523131.3719150021 0.028086595000000436 0.05527036999999968 4.940038196
31 5646674.5611974755 1522836.1919150022 5646969.741197475 1523131.3719150021 0.027895120999999357 0.055059720000000034 5.024462283
32 4287011.939164349 1522836.1919150022 4287307.119164349 1523131.3719150021 0.028242501000000253 0.05574753600000015 5.108543506
33 3965451.249709319 1522836.1919150022 3965746.429709319 1523131.3719150021 0.029945467000000114 0.05702801899999965 5.193610862
34 3223806.215587986 1522836.1919150022 3224101.3955879863 1523131.3719150021 0.02928239399999999 0.059088208000000364 5.281623083
35 3608445.1516447216 1522836.1919150022 3608740.331644722 1523131.3719150021 0.029090541000000414 0.05854838899999937 5.371097976
36 2912656.1345634805 1522836.1919150022 2912951.3145634807 1523131.3719150021 0.02974017799999995 0.05802282500000011 5.459894227
37 353077184.5826985 1522836.1919150022 353077479.76269853 1523131.3719150021 0.029827755000000344 0.05914473699999956 5.548667087
38 51673811.095780075 1522836.1919150022 51674106.275780074 1523131.3719150021 0.04332863899999939 0.05850566499999932 5.638668809
39 854225237.1536689 1522836.1919150022 854225532.3336688 1523131.3719150021 0.029787446999999467 0.06035681599999965 5.741766685
40 1511937086.8309453 1522836.1919150022 1511937382.0109453 1523131.3719150021 0.029098141999999605 0.05879754299999984 5.833045096
41 2650657.5949881137 1522836.1919150022 2650952.774988114 1523131.3719150021 0.02983922100000047 0.05830100799999993 5.921988127
42 4173787.658104959 1522836.1919150022 4174082.838104959 1523131.3719150021 0.03094380699999988 0.0617129210000007 6.011173882
43 2343549.3565867404 1522836.1919150022 2343844.5365867405 1523131.3719150021 0.03174603599999948 0.060869947999999674 6.104923317
44 2499301.4323523412 1522836.1919150022 2499596.6123523414 1523131.3719150021 0.031125857000000146 0.06243266900000055 6.198660311
45 4714148.508386543 1522836.1919150022 4714443.688386543 1523131.3719150021 0.031953488000000085 0.06209607900000069 6.29335518
46 1208952.6958718975 1208952.6958718975 1209247.8758718974 1209247.8758718974 0.030908765000000393 0.062098798000000066 6.388639627
47 5847009.273803712 1208952.6958718975 5847304.453803712 1209247.8758718974 0.030936216000000627 0.06255442500000008 6.482901208
48 2632783894.6745696 1208952.6958718975 2632784189.8545694 1209247.8758718974 0.031533728000000316 0.061915551000000235 6.577640733
49 101091052.30369559 1208952.6958718975 101091347.4836956 1209247.8758718974 0.031244388999999373 0.0627237789999997 6.672345151
50 12895780.380345322 1208952.6958718975 12896075.560345322 1209247.8758718974 0.03140406599999945 0.06282887099999979 6.767407957
51 191873415.93826464 1208952.6958718975 191873711.11826465 1209247.8758718974 0.031516907000000316 0.06274672499999934 6.862719734
52 2572035.813020536 1208952.6958718975 2572330.9930205364 1209247.8758718974 0.03797686900000041 0.07950863599999991 6.958068229
53 412869248.89491653 1208952.6958718975 412869544.07491654 1209247.8758718974 0.03229676599999998 0.0712597069999994 7.076794486
54 1183161.5214581261 1183161.5214581261 1183456.701458126 1183456.701458126 0.0313279599999996 0.06374324799999975 7.18181851
55 1157648.4324981892 1157648.4324981892 1157943.612498189 1157943.612498189 0.03174296500000029 0.06377430700000009 7.278132484
56 23611486.237852 1157648.4324981892 23611781.417852 1157943.612498189 0.032905073999999424 0.0631013350000007 7.374721037
57 710943335.0804356 1157648.4324981892 710943630.2604356 1157943.612498189 0.031744234999999676 0.0650215790000006 7.471866046
58 1068026.9539511516 1068026.9539511516 1068322.1339511515 1068322.1339511515 0.043391978999999914 0.06586085699999966 7.569740856
59 1368938.2213658853 1068026.9539511516 1369233.4013658853 1068322.1339511515 0.031315501999999995 0.06456675799999978 7.680230829
60 37724238.48583679 1068026.9539511516 37724533.66583679 1068322.1339511515 0.03183411699999983 0.07737985199999997 7.777234736
61 1132413.4289920866 1068026.9539511516 1132708.6089920865 1068322.1339511515 0.03174342800000041 0.06545861100000039 7.887753097
62 1058376.931196784 1058376.931196784 1058672.1111967838 1058672.1111967838 0.03255424600000012 0.06417042100000003 7.98612255
63 935831.7388012458 935831.7388012458 936126.9188012459 936126.9188012459 0.03199017599999898 0.06663720699999942 8.084104721
64 868641.2177408781 868641.2177408781 868936.3977408782 868936.3977408782 0.031232699000000252 0.06424231400000124 8.183962604
65 1034254.2695060177 868641.2177408781 1034549.4495060177 868936.3977408782 0.03150339599999974 0.06520298699999927 8.28065313
66 1149597710.6501105 868641.2177408781 1149598005.8301105 868936.3977408782 0.032978410000000125 0.0652542149999995 8.378455625
67 20445992.004708227 868641.2177408781 20446287.184708226 868936.3977408782 0.033546528000000464 0.07255655700000041 8.478015589
68 986843.2024859881 868641.2177408781 987138.3824859882 868936.3977408782 0.0341338879999995 0.07085687800000073 8.585393857
69 846800.5482950904 846800.5482950904 847095.7282950905 847095.7282950905 0.033652780000000604 0.07045467899999913 8.691552801
70 64122077.23819103 846800.5482950904 64122372.41819103 847095.7282950905 0.03365570299999909 0.0712362259999999 8.796812712
